num_calls_prev  	malloc_time
10000      	 0.000795 
20000      	 0.000789 
30000      	 0.000780 
40000      	 0.000781 
50000      	 0.000781 
60000      	 0.000780 
70000      	 0.000780 
80000      	 0.000779 
90000      	 0.000780 
100000     	 0.000782 
110000     	 0.000836 
120000     	 0.000769 
130000     	 0.000773 
140000     	 0.000776 
150000     	 0.000782 
160000     	 0.000773 
170000     	 0.000773 
180000     	 0.000774 
190000     	 0.000774 
200000     	 0.000772 
210000     	 0.000787 
220000     	 0.000749 
230000     	 0.000751 
240000     	 0.000758 
250000     	 0.000730 
260000     	 0.000729 
270000     	 0.000726 
280000     	 0.000724 
290000     	 0.000740 
300000     	 0.000702 
310000     	 0.000702 
320000     	 0.000717 
330000     	 0.000683 
340000     	 0.000682 
350000     	 0.000682 
360000     	 0.000682 
370000     	 0.000687 
380000     	 0.000665 
390000     	 0.000663 
400000     	 0.000662 
410000     	 0.000680 
420000     	 0.000645 
430000     	 0.000644 
440000     	 0.000644 
450000     	 0.000644 
460000     	 0.000645 
470000     	 0.000659 
480000     	 0.000626 
490000     	 0.000627 
500000     	 0.000627 
